,Ad ID,Ad URL,Ad Text,Hosted Page,Impressions,Currency,Ad Spending
0,555215822069518,https://www.facebook.com/ads/archive/render_ad/?id=555215822069518&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Patagonia grantee Los Angeles County Arboretum & Botanic Garden is offering a digital exhibition showcasing botanic illustrations from their library’s Rare Book Room. Check the exhibition out on their website to view and learn about plant communities in southern California's mediterranean climate.,Patagonia,14999,USD,99
1,679538189543178,https://www.facebook.com/ads/archive/render_ad/?id=679538189543178&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,We cannot allow COVID-19 to make California's homelessness crisis worse. Renters need protection from eviction and crippling debt now.,Rental Affordability Act,5999,USD,99
2,714961402573904,https://www.facebook.com/ads/archive/render_ad/?id=714961402573904&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,We cannot allow COVID-19 to make California's homelessness crisis worse. Renters need protection from eviction and crippling debt now.,Rental Affordability Act,1999,USD,99
3,515911525964172,https://www.facebook.com/ads/archive/render_ad/?id=515911525964172&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,We cannot allow COVID-19 to make California's homelessness crisis worse. Renters need protection from eviction and crippling debt now.,Rental Affordability Act,2999,USD,99
4,557093211666833,https://www.facebook.com/ads/archive/render_ad/?id=557093211666833&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Today at noon we will be out protesting Newsom's California lockdown outside of LA City Hall as part of #FullyOpenCA.

Come out and join me. Regardless of your party, we need to start to #ReopenCalifornia immediately so we can provide for ourselves and our families.",Joe Collins,999,USD,99
5,2424256254531896,https://www.facebook.com/ads/archive/render_ad/?id=2424256254531896&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Today more than ever, no health care = no chance. Join the fight for Medicare for All.",HEAL California,999,USD,99
6,867420843724977,https://www.facebook.com/ads/archive/render_ad/?id=867420843724977&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Coastal Liberals from California & New York want to get rid of the electoral college. Even former Democrat presidential candidates like Elizabeth Warren and Bernie Sanders have pushed for it. We CANNOT let them silence your vote. Sign our petition to protect the electoral college >>,Deb Fischer,999,USD,99
7,2519928954926013,https://www.facebook.com/ads/archive/render_ad/?id=2519928954926013&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Coastal Liberals from California & New York want to get rid of the electoral college. Even former Democrat presidential candidates like Elizabeth Warren and Bernie Sanders have pushed for it. We CANNOT let them silence your vote. Sign our petition to protect the electoral college >>,Deb Fischer,999,USD,99
8,2593946477486352,https://www.facebook.com/ads/archive/render_ad/?id=2593946477486352&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Join us Friday, April 24 @ 10:30 a.m. / 1:30 p.m.
Farmworker Justice presents a Facebook series “THE STATE OF FARMWORKERS IN A COVID-19 ERA”
Guest:  Steven Hernandez, Mayor of City of Coachella, California
Farmworker Justice is collaborating with farmworker-serving organizations and many other organizations to help farmworker families confront the very serious challenges caused by COVID-19 pandemic.",Farmworker Justice,999,USD,99
9,168219281164659,https://www.facebook.com/ads/archive/render_ad/?id=168219281164659&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"John Lovell and the California Narcotic Officers' Association know that at a time of COVID-19, high concentrations of at-risk populations put everyone in jeopardy.",High View Strategies,999,USD,99
